hidden_size,density,leakage_rate,spectral_radius,input_scaling,testing_loss_prob,testing_loss_durr,testing_accuracy,number
256,1,0.001,0.5,1,3.782014080179416,79.46341463414635,0.15447154471544716,324
512,0.9,0.01,0.5,0.001,3.5983984431600184,44.13008130081301,0.0,946
512,1,0.9,1.5,0.001,3.2943998381374326,45.50878908721412,0.024390243902439025,601
1024,0.5,0.1,-1,0.1,3.902469698491135,45.22450468830037,0.07317073170731707,1723
1024,0.5,0.001,0.9,0.01,6.478055785341961,29.526827804564416,0.008130081300813009,1432
1024,0.1,0.01,0.9,0.1,3.699028005929497,22.943641995026812,0.008130081300813009,1458
512,1,0.9,1.5,0.01,4.071241644824424,119.54471544715447,0.008130081300813009,602
256,0.01,0.001,0.9,10,2.9486778373640727,22.43816466036077,0.1951219512195122,295
256,0.9,0.1,0.5,1,3.075543195251527,102.80156806879535,0.008130081300813009,344
1024,1,0.001,0.9,10,2.720720632774074,19.93365974270983,0.2764227642276423,1375
1024,0.1,0,0.9,10,3.092833370212617,259.01213170600965,0.0,1470
512,1,0.5,1.5,0.001,3.604811452268585,20.892706114586776,0.0,606
1024,0.01,0.5,1.5,10,3.323506981861301,22.61248555347833,0.08943089430894309,1330
1024,1,0.9,-1,0.1,2.9875896902588326,100.16402795378448,0.06504065040650407,1653
512,0.9,0.9,1.5,10,3.504189945817963,19.466410097831716,0.016260162601626018,635
256,0.01,0.1,0.5,10,3.3112138558209425,47.020936421974284,0.1951219512195122,435
1024,0.1,0.001,1.5,1,3.8147816701633173,212.5307889540332,0.0,1314
512,0.1,0.9,1.5,10,4.2595721114941725,297.4294930325811,0.0,695
256,0.5,0.1,0.5,10,3.4242066503540287,21.680300749288456,0.0,375
256,0.1,0.1,0.5,0.1,3.5904772509404315,285.3982739526082,0.008130081300813009,403
1024,0.9,0.5,0.5,10,3.2952026938035237,206.78317866005983,0.008130081300813009,1540
1024,0.5,0.1,0.5,0.01,3.956772862411127,23.602330370435144,0.0,1572
512,1,0.5,1.5,10,5.943407427004682,89.84793474257647,0.14634146341463414,610
512,0.01,0.9,-1,0.1,3.8733490308125815,25.814669720041074,0.016260162601626018,1173
256,0.9,0.01,1.5,0.001,3.7651038833749975,148.69802841798608,0.008130081300813009,46
512,0.01,0,0.5,10,3.346715241912904,147.6386689958049,0.2764227642276423,1050
512,0.1,0.9,1.5,1,3.7943507651003396,18.395502761244863,0.016260162601626018,694
256,0.1,0,-1,0.001,3.4474611674867024,24.349974572902727,0.008130081300813009,566
1024,0.1,0.001,1.5,0.01,3.153933706806927,25.544011441198542,0.0,1312
512,0.5,0.01,1.5,0.001,3.4617173012679183,23.644313051933196,0.0,676
1024,0.1,0.001,0.9,0.001,5.952564010775186,47.60162601626016,0.032520325203252036,1461
512,0.5,0.001,0.5,10,3.509359961118155,35.07495259143725,0.0,985
512,0.01,0,1.5,10,2.7709352282004627,97.54373058706581,0.1951219512195122,750
1024,0.9,0.5,0.5,0.1,3.8515248216264615,315.9430894308943,0.008130081300813009,1538
256,0.1,0.1,-1,0.1,3.4982991674082067,42.15360287087402,0.024390243902439025,553
256,0.5,0,0.5,1,5.581961795081937,293.3743463870257,0.22764227642276422,389
1024,0.01,0.9,0.5,10,3.9284980505462586,82.48961352974524,0.0,1625
256,0.9,0.001,-1,0.01,3.461940939348888,46.48236342495292,0.04065040650406504,502
256,1,0.5,0.9,0.01,3.130313570421886,29.011662750467053,0.0,157
256,0.1,0.5,-1,10,3.18004485504414,214.32099498131944,0.0,550
256,0.5,0.1,-1,0.001,3.869940561492269,48.328898700032234,0.06504065040650407,521
256,1,0.9,0.5,1,6.276899815090304,65.73170731707317,0.008130081300813009,304
1024,1,0.01,1.5,1,3.773412753411425,274.69207657096064,0.0,1219
1024,0.5,0.001,0.5,0.1,3.3843662990787164,187.5609756097561,0.008130081300813009,1583
512,1,0.1,0.9,1,5.245567185607383,260.1795359123019,0.12195121951219512,764
256,0.9,0.5,0.9,0.1,7.2675221707762745,19.969636860024096,0.06504065040650407,188
1024,0.1,0,0.5,0.1,4.0238696273749435,16.668691799726066,0.024390243902439025,1618
256,0.1,0.1,0.5,0.01,6.489691999869618,44.539984432149424,0.008130081300813009,402
256,0.01,0,-1,0.001,3.498472202599533,142.09151603875122,0.0,596
512,0.5,0.9,1.5,10,3.3822605629277422,49.36213687551397,0.0,665
