hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
256,1,Adam,0.1,0,-0.5,0.5,3.9028248445407763,196.8606978394497,0.1837837837837838,46
4096,1,SGD,0.001,0,-0.5,0.5,2.9647982990419544,5.944062023582818,0.654054054054054,157
2048,1,SGD,0.01,0,-1,1,4.019135740318814,7.577345594518035,0.8486486486486486,125
1024,1,Adam,0.01,0,0,1,3.742042664257256,48.20540540540541,0.08108108108108109,111
512,1,Adam,0.0001,0,-1,1,3.9385595405423963,63.06867474857183,0.6702702702702703,86
1024,1,SGD,0.001,0,0,1,3.6270536023217277,38.64357025719978,0.0,99
256,1,Adam,0.1,0,0,1,3.2840964162671886,89.9027027027027,0.032432432432432434,48
4096,1,SGD,0.01,0,-1,1,3.5222735878583546,3.7582845390222515,0.8972972972972973,155
4096,1,Adam,1e-05,0,-0.5,0.5,2.2445143100377676,5.9922951976949195,0.8756756756756757,178
4096,1,Adam,0.1,0,-0.5,0.5,4.2100945237520575,4.686059327377085,0.08108108108108109,166
2048,1,SGD,0.001,0,-0.5,0.5,2.7805722052986557,14.129465310758835,0.4918918918918919,127
512,1,SGD,1e-05,0,-0.5,0.5,5.15204344311276,116.43762005114978,0.043243243243243246,73
2048,1,SGD,0.1,0,-0.5,0.5,4.200035321390307,9.14899618871238,0.1837837837837838,121
256,1,SGD,0.001,0,-0.5,0.5,3.449899099968575,49.63395482726597,0.0972972972972973,37
1024,1,SGD,0.01,0,0,1,4.879926480151512,44.1625440003816,0.005405405405405406,96
4096,1,SGD,0.001,0,0,1,4.545877969264984,94.31891891891892,0.005405405405405406,159
512,1,SGD,1e-05,0,0,1,3.6542222606169212,211.37512784636505,0.016216216216216217,75
1024,1,Adam,0.0001,0,0,1,3.689312624286961,48.49189189189189,0.0,117
512,1,SGD,0.0001,0,0,1,3.693505407668449,273.4423799224802,0.0,72
256,1,SGD,0.01,0,-1,1,3.0359646197911854,19.230859749151648,0.4756756756756757,35
1024,1,Adam,1e-05,0,0,1,4.728528152607582,69.14513003165658,0.005405405405405406,120
128,1,Adam,0.01,0,0,1,4.262914737817403,313.36324791038356,0.043243243243243246,21
256,1,SGD,0.1,0,-1,1,3.7022532350308186,23.602626317915682,0.17297297297297298,32
256,1,SGD,0.001,0,-1,1,3.6975212177714787,106.25481611361343,0.0918918918918919,38
128,1,SGD,0.001,0,-1,1,3.74440208931227,178.46238186868015,0.05945945945945946,8
512,1,SGD,0.1,0,-0.5,0.5,3.6592715173154264,17.530164526135668,0.010810810810810811,61
512,1,SGD,0.0001,0,-0.5,0.5,3.9878624658326847,112.09440488665541,0.04864864864864865,70
128,1,SGD,0.001,0,-0.5,0.5,3.6405907647029774,183.66815179884685,0.06486486486486487,7
1024,1,Adam,0.01,0,-0.5,0.5,4.718775262059392,53.601890221409334,0.010810810810810811,109
1024,1,Adam,0.01,0,-1,1,4.131731757602176,16.00343896084449,0.021621621621621623,110
1024,1,SGD,0.1,0,-0.5,0.5,3.4974669504810025,15.896851542734028,0.005405405405405406,91
128,1,Adam,0.001,0,0,1,3.631219342270413,132.69355547669772,0.04864864864864865,24
2048,1,Adam,0.001,0,-1,1,3.2095042341464275,5.369183160357942,0.14054054054054055,143
2048,1,Adam,0.001,0,0,1,3.9227288880863704,218.64324324324323,0.005405405405405406,144
1024,1,SGD,1e-05,0,-0.5,0.5,3.3943015240334176,33.53500179762185,0.016216216216216217,103
1024,1,SGD,0.01,0,-0.5,0.5,3.6815466561832944,62.75265832007265,0.7189189189189189,94
128,1,Adam,0.0001,0,-0.5,0.5,4.534910572863914,133.06661937656133,0.0972972972972973,25
