hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
512,1,Adam,0.01,1,0,1,3.447553110122681,185.10270270270271,0.04864864864864865,324
4096,1,SGD,0.1,0,-0.5,0.5,2.6782173533697384,,0.0,601
4096,1,SGD,0.1,0,-1,1,2.980620387438181,,0.016216216216216217,602
512,1,SGD,1e-05,0.01,-0.5,0.5,3.976851577372164,53.31139084394825,0.07027027027027027,295
512,1,Adam,0.0001,0.01,-1,1,2.7249154674040303,180.12478063122143,0.8324324324324325,344
4096,1,SGD,0.1,0.1,0,1,3.9727365532436885,62.567567567567565,0.021621621621621623,606
4096,1,SGD,0.001,1,-1,1,3.583324974936408,241.75675675675674,0.005405405405405406,635
1024,1,Adam,0.01,0,0,1,4.479694928671862,237.42702702702704,0.05945945945945946,435
4096,1,Adam,0.001,1,-1,1,3.7090648657566794,3.41284972179868,0.005405405405405406,695
1024,1,SGD,0.01,0,0,1,3.521751205341236,49.22702702702703,0.0,375
1024,1,SGD,0.0001,0.01,-0.5,0.5,4.844650373587737,9.1418550174281,0.15675675675675677,403
4096,1,SGD,0.1,1,-0.5,0.5,4.120461578304703,,0.016216216216216217,610
128,1,SGD,0.0001,1,-0.5,0.5,3.3870281796197634,31.387713493593036,0.05945945945945946,46
4096,1,Adam,0.001,1,-0.5,0.5,3.1302667347160544,2.9104651438728735,0.0,694
2048,1,Adam,0.001,0,-1,1,3.5930122109683786,3.1289081835534858,0.5297297297297298,566
4096,1,Adam,0.01,0.1,-0.5,0.5,2.9271072990185507,188.65405405405406,0.032432432432432434,676
2048,1,Adam,0.01,0,-0.5,0.5,3.276176957181982,164.76756756756757,0.043243243243243246,553
1024,1,SGD,0.001,0.1,-1,1,3.1657821043117624,39.00279641487682,0.14594594594594595,389
2048,1,SGD,0.01,1,-0.5,0.5,3.3255486620439068,1.0655700934474153,0.0,502
256,1,SGD,0.0001,0,-0.5,0.5,4.991222341318388,26.041978762889393,0.032432432432432434,157
2048,1,Adam,0.1,1,-0.5,0.5,4.316667672105738,191.8387278930561,0.07567567567567568,550
2048,1,SGD,0.0001,0.1,-1,1,3.779704389056644,2.271510187230716,0.21621621621621623,521
512,1,Adam,0.1,0.1,-0.5,0.5,3.115584149553969,355.2391179265203,0.05405405405405406,304
256,1,Adam,0.1,0.01,-1,1,3.3229194885975604,318.20540540540543,0.016216216216216217,188
1024,1,SGD,0.0001,0.1,0,1,3.251502575101079,100.88653932584299,0.0,402
2048,1,Adam,1e-05,0.01,-1,1,3.2972555199184934,68.9512657774252,0.9783783783783784,596
4096,1,Adam,0.1,0.1,-1,1,5.079380154287493,227.48108108108107,0.032432432432432434,665
4096,1,Adam,0.1,1,-0.5,0.5,3.860892430833868,230.73652292200038,0.04864864864864865,670
4096,1,Adam,0.1,0.1,0,1,3.4975193110672205,181.26486486486488,0.0,666
4096,1,Adam,0.0001,0.1,-1,1,4.118698136226551,7.225971314356374,0.2810810810810811,701
