hidden_size,batch_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
512,1,Adam,0.01,10,0,1,5.111557854188455,136.27567567567567,0.04864864864864865,324
512,1,SGD,1e-05,1,-0.5,0.5,3.7108561109852145,23.033778512863933,0.032432432432432434,295
512,1,Adam,0.0001,1,-1,1,3.5008535919962704,19.782186949855927,0.0,344
1024,1,Adam,0.01,0,0,1,3.8009462810851433,273.05945945945945,0.05405405405405406,435
1024,1,SGD,0.01,0,0,1,4.8677684964360415,198.92972972972973,0.005405405405405406,375
1024,1,SGD,0.0001,1,-0.5,0.5,3.8089644029333787,53.95840512755755,0.02702702702702703,403
128,1,SGD,0.0001,10,-0.5,0.5,3.6451556573043,43.67920692639356,0.0,46
1024,1,SGD,0.001,0.1,-1,1,4.736127799588281,56.414687366743344,0.1891891891891892,389
2048,1,SGD,0.01,10,-0.5,0.5,3.776389822122213,226.33513513513515,0.016216216216216217,502
256,1,SGD,0.0001,0,-0.5,0.5,3.542035327408765,49.49177682020047,0.032432432432432434,157
512,1,Adam,0.1,0.1,-0.5,0.5,3.4817481108613917,19.611068900181234,0.021621621621621623,304
256,1,Adam,0.1,1,-1,1,3.863729856143127,31.648182682328578,0.043243243243243246,188
1024,1,SGD,0.0001,0.1,0,1,3.199231058842427,71.17297297297297,0.0,402
256,1,Adam,0.01,0.1,-0.5,0.5,3.632236096987853,33.518780327084905,0.07027027027027027,196
1024,1,Adam,0.001,1,-1,1,4.938332468432349,46.15316199225349,0.005405405405405406,452
256,1,Adam,0.0001,0.1,0,1,3.47842370239464,268.1189189189189,0.05945945945945946,222
512,1,Adam,0.01,1,-1,1,3.3209886847315606,17.477934595660585,0.005405405405405406,320
512,1,Adam,0.01,0,-0.5,0.5,3.6995194151594832,18.534342671457576,0.15135135135135136,313
512,1,Adam,0.0001,0.1,0,1,4.607228740163752,330.4756756756757,0.005405405405405406,342
1024,1,Adam,0.01,0,-1,1,3.4439846264349447,47.124267167406714,0.02702702702702703,434
1024,1,SGD,0.01,1,-1,1,3.1793382999059316,135.9515839956902,0.005405405405405406,380
2048,1,SGD,0.1,0.1,-1,1,3.8237604908041054,112.42162162162163,0.016216216216216217,485
256,1,SGD,0.1,0.1,-1,1,3.447699894131841,35.84008780387293,0.016216216216216217,125
128,1,Adam,1e-05,0,0,1,3.228955066204071,50.502702702702706,0.0,111
2048,1,SGD,0.01,10,-1,1,5.386687276814435,256.22162162162164,0.032432432432432434,503
128,1,Adam,0.001,0,-1,1,2.485358916424416,47.95713110922433,0.7081081081081081,86
2048,1,SGD,0.01,0,-0.5,0.5,3.3701697439760774,224.94594594594594,0.005405405405405406,493
512,1,Adam,0.01,10,-1,1,3.2172591873117393,195.24574653731943,0.05945945945945946,323
128,1,Adam,0.0001,0,0,1,3.9872343449979213,231.41667079925537,0.0,99
1024,1,Adam,0.0001,0.1,0,1,3.6848559560002507,41.8,0.06486486486486487,462
128,1,SGD,0.0001,10,0,1,3.483048324971586,69.18378378378378,0.0,48
256,1,SGD,0.001,10,-1,1,3.6472773571272152,24.739958854050162,0.03783783783783784,155
512,1,SGD,0.001,1,-0.5,0.5,5.3712704597292715,21.06735654033318,0.005405405405405406,271
256,1,SGD,1e-05,10,-0.5,0.5,3.8878755769214113,48.05152443175777,0.07567567567567568,178
512,1,SGD,0.01,10,-1,1,5.3355467190613615,189.49869249000471,0.005405405405405406,263
