hidden_size,optimizer,learning_rate,weight_decay,init_range_start,init_range_end,testing_loss_prob,testing_loss_durr,testing_accuracy,number
512,SGD,0.001,0.1,-1,1,4.3883983647920255,176.38837070141497,0.016260162601626018,70
512,SGD,0.0001,1,-1,1,3.5675212537370076,35.04968187374317,0.016260162601626018,76
512,SGD,0.001,1,-0.5,0.5,3.955831155544374,284.5000603347824,0.0,92
1024,SGD,0.001,0.1,-0.5,0.5,3.888270403796095,46.0650406504065,0.04065040650406504,150
256,SGD,0.001,0.01,0,1,3.6140536728913224,126.34146341463415,0.0,51
256,SGD,1e-05,0.1,0,1,3.453691325051998,177.6178861788618,0.056910569105691054,58
256,SGD,0.001,0.1,0,1,6.383086523389428,132.9512195121951,0.0,50
1024,SGD,0.001,0.01,-1,1,5.452538310996885,35.422764227642276,0.04065040650406504,131
256,SGD,1e-05,1,-0.5,0.5,3.550710102406944,50.52198249992358,0.024390243902439025,40
1024,SGD,0.01,0.01,-1,1,5.392730755050008,332.6260162601626,0.08943089430894309,127
512,SGD,0.0001,1,0,1,3.368248319238182,125.15447154471545,0.0,116
512,SGD,0.01,0,0,1,5.7902708320113705,190.8211382113821,0.0,105
1024,SGD,1e-05,1,0,1,3.218808097567985,26.093398530308793,0.06504065040650407,180
256,SGD,0.0001,0,0,1,5.296835190396968,41.707317073170735,0.0,53
256,SGD,0.001,1,-1,1,3.316414753595988,385.74246143936597,0.0,12
256,SGD,0.1,0.1,0,1,3.80127346903328,253.8861788617886,0.0,42
256,SGD,1e-05,0.01,-1,1,3.72316504106289,89.4892354111844,0.032520325203252036,19
256,SGD,0.0001,0.1,-0.5,0.5,3.5622945582963585,46.608057015159496,0.016260162601626018,34
512,SGD,0.0001,0,-1,1,3.2711893605992075,172.8807355446899,0.032520325203252036,73
512,SGD,1e-05,0.01,-1,1,3.843054944422187,53.70966990855078,0.04878048780487805,79
1024,SGD,0.1,0.01,0,1,3.4851370700975743,231.17073170731706,0.0,163
256,SGD,0.1,0.01,0,1,3.2403823704254338,254.16260162601625,0.0,43
512,SGD,0.1,0.1,0,1,3.708755858545381,127.40650406504065,0.0,102
256,SGD,0.1,0.1,-1,1,3.780602246280608,213.1869918699187,0.0,2
256,SGD,0.001,0,-1,1,3.508067461533275,347.9430173889164,0.04878048780487805,9
512,SGD,0.0001,0.01,-1,1,3.9345716184716886,182.36749574920773,0.032520325203252036,75
256,SGD,1e-05,0.01,-0.5,0.5,3.497257664436247,19.22881473252565,0.032520325203252036,39
1024,SGD,0.0001,0,0,1,6.6097490690587986,74.85365853658537,0.016260162601626018,173
256,SGD,0.01,0.01,0,1,3.178412941413197,303.2032520325203,0.0,47
1024,SGD,0.0001,1,-0.5,0.5,3.737524968337237,125.1119594282579,0.0,156
256,SGD,0.0001,0.1,-1,1,5.48422135570185,30.060235374705577,0.056910569105691054,14
256,SGD,0.0001,0,-1,1,3.5693146649414933,84.3340091573689,0.008130081300813009,13
1024,SGD,0.0001,0.1,-0.5,0.5,3.659136345231436,104.95729340967789,0.032520325203252036,154
256,SGD,0.001,1,-0.5,0.5,4.341343136822305,43.40777314969195,0.0,32
512,SGD,0.001,0.1,-0.5,0.5,6.407746636770605,410.5337074130053,0.04065040650406504,90
512,SGD,1e-05,0,0,1,3.621902468727856,21.17715646375001,0.0,117
256,SGD,0.01,0.01,-1,1,6.143892475259983,61.99186991869919,0.08130081300813008,7
1024,SGD,0.01,0,-0.5,0.5,3.6435536354537903,125.40650406504065,0.15447154471544716,145
256,SGD,0.01,0.1,-0.5,0.5,3.8574828563666923,60.853658536585364,0.016260162601626018,26
256,SGD,0.1,0,-1,1,2.9633632927406124,304.4552845528455,0.12195121951219512,1
256,SGD,0.01,0.1,-1,1,4.277432051131396,46.926829268292686,0.008130081300813009,6
256,SGD,0.001,1,0,1,3.949303629437113,20.245485531605357,0.0,52
1024,SGD,0.001,0,-1,1,3.5402865240244363,58.390243902439025,0.08943089430894309,129
256,SGD,1e-05,0.1,-1,1,4.169583406390213,19.540705754696127,0.07317073170731707,18
1024,SGD,0.001,0.01,-0.5,0.5,4.112539537069274,61.05691056910569,0.13008130081300814,151
1024,SGD,0.01,0.01,0,1,3.331154764667759,57.390243902439025,0.0,167
512,SGD,0.1,0.01,-1,1,3.8550836957567105,39.59349593495935,0.06504065040650407,63
512,SGD,0.1,0.01,0,1,6.28430715421351,62.59349593495935,0.0,103
1024,SGD,0.1,1,0,1,4.284190422151147,215.71544715447155,0.008130081300813009,164
256,SGD,0.001,0,-0.5,0.5,3.90915790224463,143.22438438236003,0.07317073170731707,29
512,SGD,0.001,0.01,0,1,3.2777954756729,190.2439024390244,0.0,111
512,SGD,0.0001,0.1,-0.5,0.5,3.1784334187585164,39.65974547008286,0.08130081300813008,94
1024,SGD,1e-05,0.1,-1,1,3.2381525185050033,97.33170140217005,0.06504065040650407,138
1024,SGD,0.001,1,-0.5,0.5,3.758309180174417,153.4308943089431,0.0,152
512,SGD,0.001,0.01,-0.5,0.5,3.772586360694916,33.32812846576931,0.04878048780487805,91
1024,SGD,1e-05,0,-1,1,4.513415582780915,60.92343888009001,0.024390243902439025,137
512,SGD,1e-05,0.01,-0.5,0.5,4.091383694633236,178.02442789459042,0.04065040650406504,99
1024,SGD,0.0001,0,-1,1,3.4020172095880277,42.22702945397487,0.024390243902439025,133
1024,SGD,0.0001,0.1,-1,1,6.339394724465968,112.55361120490645,0.08130081300813008,134
1024,SGD,0.1,0.1,0,1,3.7229492557727224,313.0243902439024,0.016260162601626018,162
256,SGD,0.01,0,-1,1,3.754594664748122,54.91869918699187,0.0975609756097561,5
512,SGD,0.01,1,0,1,5.729043976078189,54.41463414634146,0.07317073170731707,108
